"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2015-12-09T23:40:29Z"
"Version","20150901000000"
"OfferCode","AmazonSES"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Origin","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Content Type","Recipient"
"D37X2YZAY9ZUUWD9","JRTCKXETXF","D37X2YZAY9ZUUWD9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Northern California) data transfer to Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US West (N. California)","AWS Region","Asia Pacific (Sydney)","AWS Region","USW1-APS2-AWS-Out-Bytes","",,
"8TVXXVK53DBQVQD4","JRTCKXETXF","8TVXXVK53DBQVQD4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per GB - data transfer in per month","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Inbound","External","Other","EU (Ireland)","AWS Region","EU-DataTransfer-In-Bytes","",,
"S3FBD985VERAVGGD","A429C66SYZ","S3FBD985VERAVGGD.A429C66SYZ.JXGPBPHWFF","OnDemand","Cost per email received","2015-09-01","0","1000","Message","0.0000000000","USD",,"Bundle","AmazonSES",,,,,"SES-MonthlyFree-IncomingEmail","Monthly free incoming emails",,,,,,"Global-Message","Receive",,
"MX9RSVV5TYFPZR5Q","JRTCKXETXF","MX9RSVV5TYFPZR5Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Tokyo) data transfer from AWS GovCloud (US)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","Asia Pacific (Tokyo)","AWS Region","AWS GovCloud (US)","AWS Region","APN1-UGW1-AWS-In-Bytes","",,
"SDHP4R7WGBVJPQPY","JRTCKXETXF","SDHP4R7WGBVJPQPY.JRTCKXETXF.8EEUB22XNJ","OnDemand","$0.000 per GB - first 1 GB of data transferred out per month","2015-09-01","0","1","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-Bytes","",,
"SDHP4R7WGBVJPQPY","JRTCKXETXF","SDHP4R7WGBVJPQPY.JRTCKXETXF.WVV8R9FH29","OnDemand","$0.120 per GB - up to 10 TB / month data transfer out","2015-09-01","1","10240","GB","0.1200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-Bytes","",,
"SDHP4R7WGBVJPQPY","JRTCKXETXF","SDHP4R7WGBVJPQPY.JRTCKXETXF.VF6T3GAUKQ","OnDemand","$0.085 per GB - next 40 TB / month data transfer out","2015-09-01","10240","51200","GB","0.0850000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-Bytes","",,
"SDHP4R7WGBVJPQPY","JRTCKXETXF","SDHP4R7WGBVJPQPY.JRTCKXETXF.N9EW5UVVPA","OnDemand","$0.082 per GB - next 100 TB / month data transfer out","2015-09-01","51200","153600","GB","0.0820000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-Bytes","",,
"SDHP4R7WGBVJPQPY","JRTCKXETXF","SDHP4R7WGBVJPQPY.JRTCKXETXF.GPHXDESFBB","OnDemand","$0.080 per GB - greater than 150 TB / month data transfer out","2015-09-01","153600","Inf","GB","0.0800000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-Bytes","",,
"8X3QU4DYXVJAXZK3","JRTCKXETXF","8X3QU4DYXVJAXZK3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US East (Northern Virginia) data transfer to US West (Northern California)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US East (N. Virginia)","AWS Region","US West (N. California)","AWS Region","USE1-USW1-AWS-Out-Bytes","",,
